Trial,Instance_ID,Configuration,Status,Solution_Length,Generated_Nodes,Expanded_Nodes,Time_ms,EBF
1,1,IDA*_Manhattan,Solved,46,19317103,19317115,2126,1.401
1,1,IDA*_LinearConflict,Solved,46,2168156,2168164,1190,1.332
1,1,IDA*_PDB_OOP,Solved,46,583220,583228,118,1.292
1,1,IDA*_PDB_Bitboard,Solved,46,583220,583228,20,1.292
1,2,IDA*_Manhattan,Solved,52,2689528,2689536,288,1.292
1,2,IDA*_LinearConflict,Solved,52,855296,855304,443,1.262
1,2,IDA*_PDB_OOP,Solved,52,95032,95038,22,1.205
1,2,IDA*_PDB_Bitboard,Solved,52,95032,95038,4,1.205
1,3,IDA*_Manhattan,Solved,40,4025643,4025652,443,1.419
1,3,IDA*_LinearConflict,Solved,40,427404,427412,218,1.336
1,3,IDA*_PDB_OOP,Solved,40,76886,76892,14,1.275
1,3,IDA*_PDB_Bitboard,Solved,40,76886,76892,3,1.275
1,4,IDA*_Manhattan,Solved,45,278498,278505,29,1.277
1,4,IDA*_LinearConflict,Solved,45,103709,103716,55,1.247
1,4,IDA*_PDB_OOP,Solved,45,7986,7991,2,1.170
1,4,IDA*_PDB_Bitboard,Solved,45,7986,7991,0,1.170
1,5,IDA*_Manhattan,Solved,51,59460414,59460424,6744,1.385
1,5,IDA*_LinearConflict,Solved,51,4026419,4026428,2042,1.310
1,5,IDA*_PDB_OOP,Solved,51,1715664,1715672,330,1.287
1,5,IDA*_PDB_Bitboard,Solved,51,1715664,1715672,54,1.287
1,6,IDA*_Manhattan,Solved,50,8628603,8628612,930,1.339
1,6,IDA*_LinearConflict,Solved,50,1312106,1312114,694,1.286
1,6,IDA*_PDB_OOP,Solved,50,264487,264495,54,1.242
1,6,IDA*_PDB_Bitboard,Solved,50,264487,264495,10,1.242
1,7,IDA*_Manhattan,Solved,42,66271,66277,7,1.254
1,7,IDA*_LinearConflict,Solved,42,23183,23188,14,1.220
1,7,IDA*_PDB_OOP,Solved,42,6375,6380,2,1.178
1,7,IDA*_PDB_Bitboard,Solved,42,6375,6380,0,1.178
1,8,IDA*_Manhattan,Solved,36,100760,100767,13,1.324
1,8,IDA*_LinearConflict,Solved,36,15354,15359,9,1.250
1,8,IDA*_PDB_OOP,Solved,36,13952,13958,3,1.246
1,8,IDA*_PDB_Bitboard,Solved,36,13952,13958,0,1.246
1,9,IDA*_Manhattan,Solved,32,9630,9635,1,1.269
1,9,IDA*_LinearConflict,Solved,32,3698,3703,2,1.226
1,9,IDA*_PDB_OOP,Solved,32,643,646,0,1.149
1,9,IDA*_PDB_Bitboard,Solved,32,643,646,1,1.149
1,10,IDA*_Manhattan,Solved,32,17677,17685,2,1.296
1,10,IDA*_LinearConflict,Solved,32,1989,1994,2,1.199
1,10,IDA*_PDB_OOP,Solved,32,609,614,0,1.146
1,10,IDA*_PDB_Bitboard,Solved,32,609,614,0,1.146
1,11,IDA*_Manhattan,Solved,37,125193,125199,13,1.322
1,11,IDA*_LinearConflict,Solved,37,18282,18287,10,1.248
1,11,IDA*_PDB_OOP,Solved,37,8483,8488,2,1.219
1,11,IDA*_PDB_Bitboard,Solved,37,8483,8488,1,1.219
1,12,IDA*_Manhattan,Solved,45,707339,707347,75,1.306
1,12,IDA*_LinearConflict,Solved,45,147750,147756,79,1.258
1,12,IDA*_PDB_OOP,Solved,45,19601,19607,7,1.197
1,12,IDA*_PDB_Bitboard,Solved,45,19601,19607,2,1.197
1,13,IDA*_Manhattan,Solved,45,746629,746634,84,1.308
1,13,IDA*_LinearConflict,Solved,45,227184,227189,120,1.271
1,13,IDA*_PDB_OOP,Solved,45,15526,15530,2,1.190
1,13,IDA*_PDB_Bitboard,Solved,45,15526,15530,0,1.190
1,14,IDA*_Manhattan,Solved,40,517350,517359,60,1.343
1,14,IDA*_LinearConflict,Solved,40,204840,204848,115,1.310
1,14,IDA*_PDB_OOP,Solved,40,5524,5529,1,1.184
1,14,IDA*_PDB_Bitboard,Solved,40,5524,5529,0,1.184
1,15,IDA*_Manhattan,Solved,42,313543,313551,35,1.306
1,15,IDA*_LinearConflict,Solved,42,103678,103686,66,1.269
1,15,IDA*_PDB_OOP,Solved,42,30931,30938,7,1.229
1,15,IDA*_PDB_Bitboard,Solved,42,30931,30938,1,1.229
1,16,IDA*_Manhattan,Solved,48,153143205,153143217,17120,1.445
1,16,IDA*_LinearConflict,Solved,48,13895081,13895091,7449,1.371
1,16,IDA*_PDB_OOP,Solved,48,2122864,2122873,423,1.315
1,16,IDA*_PDB_Bitboard,Solved,48,2122864,2122873,74,1.315
1,17,IDA*_Manhattan,Solved,49,9704292,9704300,1090,1.351
1,17,IDA*_LinearConflict,Solved,49,793544,793551,440,1.279
1,17,IDA*_PDB_OOP,Solved,49,104453,104459,23,1.223
1,17,IDA*_PDB_Bitboard,Solved,49,104453,104459,5,1.223
1,18,IDA*_Manhattan,Solved,34,123244,123252,14,1.357
1,18,IDA*_LinearConflict,Solved,34,23608,23615,15,1.287
1,18,IDA*_PDB_OOP,Solved,34,6318,6324,1,1.232
1,18,IDA*_PDB_Bitboard,Solved,34,6318,6324,0,1.232
1,19,IDA*_Manhattan,Solved,57,64830581,64830589,7132,1.338
1,19,IDA*_LinearConflict,Solved,57,4310893,4310900,2248,1.272
1,19,IDA*_PDB_OOP,Solved,57,699190,699197,153,1.230
1,19,IDA*_PDB_Bitboard,Solved,57,699190,699197,24,1.230
1,20,IDA*_Manhattan,Solved,56,49770312,49770320,5478,1.339
1,20,IDA*_LinearConflict,Solved,56,14545438,14545445,7353,1.308
1,20,IDA*_PDB_OOP,Solved,56,2650295,2650302,520,1.267
1,20,IDA*_PDB_Bitboard,Solved,56,2650295,2650302,85,1.267
1,21,IDA*_Manhattan,Solved,37,225268,225275,24,1.345
1,21,IDA*_LinearConflict,Solved,37,52087,52092,29,1.288
1,21,IDA*_PDB_OOP,Solved,37,21338,21345,5,1.254
1,21,IDA*_PDB_Bitboard,Solved,37,21338,21345,1,1.254
1,22,IDA*_Manhattan,Solved,49,16732379,16732389,1811,1.367
1,22,IDA*_LinearConflict,Solved,49,908826,908833,459,1.283
1,22,IDA*_PDB_OOP,Solved,49,39517,39522,8,1.196
1,22,IDA*_PDB_Bitboard,Solved,49,39517,39522,2,1.196
1,23,IDA*_Manhattan,Solved,50,12777503,12777513,1375,1.350
